"id","product","protype","connectivity","price","prorange","image","selected"
11,"WM126 optical black","mouse","wireless",898,2,"WM126 optical black.jpg",0
12,"UC300 with Mic","headset","wired",4999,2,"UC300 with Mic.jpg",0
13,"DE-KB-2236","keyboard","wired",1200,3,"DE-KB-2236.jpg",0
14,"DE-KB-2235","keyboard","wired",1250,3,"DE-KB-2235.jpg",0
15,"DE-KB-2238","keyboard","wired",1264,3,"DE-KB-2238.jpg",0
16,"WM326 laser","mouse","wireless",1459,3,"WM326 laser.jpg",0
17,"WM514 laser","mouse","wireless",1800,3,"WM514 laser.jpg",0
18,"UC350 with Mic","headset","wired",5999,3,"UC350 with Mic.jpg",0
19,"DE-KB-2233","keyboard","wired",1300,4,"DE-KB-2233.jpg",0
20,"KM117","keyboard","wireless",1419,4,"KM117.jpg",0
21,"WM527 laser","mouse","wireless",2599,4,"WM527 laser.jpg",0
22,"WM324 optical","mouse","wireless",3844,4,"WM324 optical.jpg",0
23,"AE2 with Mic","headset","wired",6499,4,"AE2 with Mic.jpg",0
1,"MS116 optical","mouse","wired",219,1,"MS116 optical.jpg",0
2,"MS111 optical","mouse","wired",310,1,"MS111 optical.jpg",0
3,"WD4XO","keyboard","wired",560,1,"WD4XO.jpg",0
4,"KB216 ","keyboard","wired",589,1,"KB216 .jpg",0
5,"WM118 optical","mouse","wireless",670,1,"WM118 optical.jpg",0
6,"KB216 ","keyboard","wired",680,1,"KB216 .jpg",0
7,"UC150 with Mic","headset","wired",2999,1,"UC150 with Mic.jpg",0
8,"DE-KB-2234","keyboard","wired",799,2,"DE-KB-2234.jpg",0
9,"WM126 optical red","mouse","wireless",875,2,"WM126 optical red.jpg",0
10,"WM126 optical blue","mouse","wireless",895,2,"WM126 optical blue.jpg",0
