Product,Type,Connectivity,Price,Range
MS116 optical,mouse,wired,219,1
MS111 optical,mouse,wired,310,1
WD4XO,keyboard,wired,560,1
KB216 ,keyboard,wired,589,1
WM118 optical,mouse,wireless,670,1
KB216 ,keyboard,wired,680,1
UC150 with Mic,headset,wired,2999,1
DE-KB-2234,keyboard,wired,799,2
WM126 optical red,mouse,wireless,875,2
WM126 optical blue,mouse,wireless,895,2
WM126 optical black,mouse,wireless,898,2
UC300 with Mic,headset,wired,4999,2
DE-KB-2236,keyboard,wired,1200,3
DE-KB-2235,keyboard,wired,1250,3
DE-KB-2238,keyboard,wired,1264,3
WM326 laser,mouse,wireless,1459,3
WM514 laser,mouse,wireless,1800,3
UC350 with Mic,headset,wired,5999,3
DE-KB-2233,keyboard,wired,1300,4
KM117,keyboard,wireless,1419,4
WM527 laser,mouse,wireless,2599,4
WM324 optical,mouse,wireless,3844,4
AE2 with Mic,headset,wired,6499,4
