Company,Product,Cpu,Ram,Price
Asus,ROG GL553VE-FY022,Intel Core i7 7700HQ 2.8GHz,8,92175.65
Asus,FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,Intel Core i7 6700HQ 2.6GHz,8,92175.65
MSI,GL62 6QF,Intel Core i7 6700HQ 2.6GHz,8,92175.65
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16,92964.15
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Intel Core i7 7700HQ 2.8GHz,8,93594.95
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,8,93752.65
HP,Omen 17-w212nv,Intel Core i7 7700HQ 2.8GHz,8,93910.35
MSI,GL62M 7REX,Intel Core i7 7700HQ 2.8GHz,8,93973.43
MSI,GL72M 7RDX,Intel Core i7 7700HQ 2.8GHz,8,93973.43
Dell,Inspiron 7577,Intel Core i5 7300HQ 2.5GHz,8,94225.75
Lenovo,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,8,94304.6
MSI,GL72M 7REX,Intel Core i7 7700HQ 2.8GHz,8,94541.15
MSI,GL62M 7RD,Intel Core i5 7300HQ 2.5GHz,8,94541.15
MSI,GP62M Leopard,Intel Core i7 7700HQ 2.8GHz,8,94541.15
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16,94541.15
Dell,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8,94541.15
MSI,GE62 Apache,Intel Core i7 6700HQ 2.6GHz,8,96906.65
HP,Omen 15-ce007nv,Intel Core i7 7700HQ 2.8GHz,12,98483.65
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,8,98483.65
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,16,98504.151
Acer,Nitro 5,Intel Core i7 7700HQ 2.8GHz,8,99351
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,8,99745.25
Asus,Rog G752VL-UH71T,Intel Core i7 6700HQ 2.6GHz,24,100060.65
Lenovo,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,8,100297.2
Asus,G701VO-IH74K (i7-6820HK/32GB/2x,Intel Core i7 6820HK 2.7GHz,32,100849.15
MSI,GP62 7RDX,Intel Core i7 7700HQ 2.8GHz,16,102031.9
MSI,GP62M 7REX,Intel Core i7 7700HQ 2.8GHz,16,102426.15
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,8,102426.15
Acer,Aspire VX5-591G,Intel Core i5 7300HQ 2.5GHz,16,102426.15
Lenovo,IdeaPad Y700-15ISK,Intel Core i7 6700HQ 2.6GHz,16,102899.25
Asus,Rog GL752VW-T4308T,Intel Core i7 6700HQ 2.6GHz,8,103489.8365
Dell,Alienware 15,Intel Core i7 6700HQ 2.6GHz,16,104791.65
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Intel Core i7 7700HQ 2.8GHz,8,105580.15
Asus,Rog GL552VW-CN470T,Intel Core i7 6700HQ 2.6GHz,16,105580.15
MSI,GL72M 7REX,Intel Core i7 7700HQ 2.8GHz,8,106327.648
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,16,106368.65
MSI,Leopard GP72M,Intel Core i7 7700HQ 2.8GHz,8,106368.65
Dell,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,16,106368.65
Asus,VivoBook Pro,Intel Core i7 7700HQ 2.8GHz,8,106447.5
Asus,Rog GL753VD-GC082T,Intel Core i5 7300HQ 2.5GHz,12,108016.615
HP,Omen 17-W295,Intel Core i7 7700HQ 2.8GHz,16,108734.15
